gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureCohort,ServiceCount,HasSecurityBundle,HasStreamingBundle,MonthlyToTotalRatio,HighRiskContractFiber
Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.98,724.35,Yes,New_0-12m,0,0,0,0.11026401047770042,1
Male,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),42.49,393.78,No,New_0-12m,0,0,0,0.10762956583413548,0
Male,1,No,No,35,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Mailed check,112.31,3917.07,Yes,Established_25-48m,3,0,0,0.028664623143537505,0
Male,0,No,No,4,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.56,427.99,Yes,New_0-12m,4,0,1,0.24373528520478333,0
Female,0,Yes,Yes,14,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,75.12,1051.91,No,Developing_13-24m,3,0,0,0.07134512921332307,0
Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.84,166.52,Yes,New_0-12m,0,0,0,0.2079751671442216,0
Female,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),102.53,4811.06,Yes,Established_25-48m,1,0,0,0.02130688312282058,0
Female,1,No,Yes,4,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),97.99,400.82,Yes,New_0-12m,3,0,0,0.24386541237369966,0
Female,0,No,No,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.37,568.68,No,Established_25-48m,0,0,0,0.035756916163460196,0
Male,0,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),36.39,1711.46,Yes,Established_25-48m,0,0,0,0.021250131389930274,0
Female,1,Yes,Yes,59,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),87.39,5168.24,No,Loyal_49-72m,1,0,0,0.01690577338254753,0
Male,0,No,No,17,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,83.25,1407.37,Yes,Developing_13-24m,2,0,0,0.059110887053828186,0
Female,1,No,No,37,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,92.3,3431.89,No,Established_25-48m,2,1,0,0.026886966957869317,0
Female,0,Yes,Yes,2,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.77,205.34,Yes,New_0-12m,3,0,1,0.4641368614907434,1
Female,0,Yes,No,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.5,1297.16,No,Loyal_49-72m,0,0,0,0.014250939791705181,0
Female,0,Yes,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),47.99,283.87,Yes,New_0-12m,0,0,0,0.1684628075964475,0
Female,0,No,No,59,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Mailed check,105.05,6151.69,No,Loyal_49-72m,3,0,0,0.017073832746327216,0
Female,1,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.06,875.83,No,Established_25-48m,0,0,0,0.03884447384327635,0
Female,0,No,Yes,16,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,66.56,1081.47,Yes,Developing_13-24m,1,0,0,0.0614890020046745,0
Female,0,Yes,No,56,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Electronic check,96.48,5398.78,No,Loyal_49-72m,4,1,1,0.01786739459755768,0
Male,0,No,No,65,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,89.67,5835.33,No,Loyal_49-72m,2,0,0,0.015364107238624273,0
Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,46.32,178.32,No,New_0-12m,0,0,0,0.2583091679678787,0
Female,0,No,No,55,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.53,5727.75,No,Loyal_49-72m,4,0,1,0.018246563386428105,0
Female,1,Yes,No,51,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,No,Credit card (automatic),93.73,4791.45,No,Loyal_49-72m,3,0,0,0.019557846195578463,0
Female,0,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),45.31,1793.98,No,Established_25-48m,0,0,0,0.025242621087700142,0
Male,0,Yes,Yes,32,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),77.73,2483.43,Yes,Established_25-48m,2,0,0,0.031286854530012925,0
Female,0,No,No,22,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),82.46,1819.59,No,Developing_13-24m,3,0,0,0.04529300940903773,0
Male,0,No,No,39,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),120.09,4673.34,Yes,Established_25-48m,3,0,1,0.025691327545706986,0
Male,0,Yes,No,54,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,104.22,5651.44,Yes,Loyal_49-72m,3,0,0,0.018438055070022857,0
Male,0,No,No,7,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,101.31,738.75,Yes,New_0-12m,3,1,0,0.13695167286245352,0
Male,1,No,Yes,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,48.67,2567.37,Yes,Loyal_49-72m,0,0,0,0.018949761911251105,0
Male,0,Yes,Yes,55,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,57.04,3125.65,No,Loyal_49-72m,0,0,0,0.018243167607503236,0
Female,0,Yes,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,43.8,1307.42,Yes,Established_25-48m,0,0,0,0.033475489521713205,0
Female,0,Yes,No,72,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,89.33,6449.06,Yes,Loyal_49-72m,3,0,0,0.013849483570695466,0
Female,1,No,No,18,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),96.52,1744.65,No,Developing_13-24m,4,0,0,0.05529172514536132,0
Female,0,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),45.52,2105.18,No,Established_25-48m,0,0,0,0.021612587718048793,0
Female,0,Yes,Yes,28,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,61.68,1746.77,No,Established_25-48m,0,0,0,0.03529068470107623,0
Male,0,No,No,52,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,No,Mailed check,62.78,3250.98,No,Loyal_49-72m,2,0,0,0.01930516177836272,0
Female,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),34.52,1043.14,No,Established_25-48m,0,0,0,0.03306070067232363,0
Female,0,No,Yes,51,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,110.19,5620.46,No,Loyal_49-72m,5,1,0,0.01960166931722364,0
Male,0,No,No,67,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,70.71,4744.02,Yes,Loyal_49-72m,2,0,0,0.01490193929635702,0
Female,0,No,No,9,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,72.65,671.09,Yes,New_0-12m,2,0,0,0.10809564195271466,1
Male,0,No,No,55,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),96.77,5320.07,No,Loyal_49-72m,5,1,0,0.018186191874942446,0
Female,1,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),35.66,132.19,No,New_0-12m,0,0,0,0.2677378181545161,0
Male,1,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,44.89,343.35,Yes,New_0-12m,0,0,0,0.1303615507477857,0
Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,108.07,2619.99,Yes,Developing_13-24m,2,0,0,0.04123251137928798,0
Female,0,Yes,Yes,35,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,118.92,4161.57,Yes,Established_25-48m,3,0,1,0.02856888893159755,1
Male,0,No,No,37,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,87.0,3198.48,No,Established_25-48m,3,0,0,0.027191918686786602,0
Male,0,No,No,45,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,98.18,4438.84,No,Established_25-48m,3,0,1,0.022113409492233956,0
Male,0,No,No,7,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,94.68,637.11,Yes,New_0-12m,3,1,0,0.1483756719060977,0
Male,0,Yes,Yes,46,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,65.16,2974.11,No,Established_25-48m,2,0,0,0.02190171119723304,0
Male,0,Yes,Yes,5,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,90.42,447.36,Yes,New_0-12m,2,0,0,0.20166830225711482,0
Male,0,No,No,52,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,104.05,5402.4,No,Loyal_49-72m,2,0,0,0.019256394122219345,0
Male,0,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),34.84,2408.64,No,Loyal_49-72m,0,0,0,0.014458591324845208,0
Male,0,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,96.34,645.48,Yes,New_0-12m,2,0,0,0.14902239821804233,1
Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,120.54,2897.85,No,Developing_13-24m,4,1,0,0.04158200665781259,0
Female,0,No,No,16,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,One year,No,Credit card (automatic),68.05,1107.98,Yes,Developing_13-24m,3,0,0,0.06136269364641382,0
Male,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,35.01,2085.87,No,Loyal_49-72m,0,0,0,0.016776320518288153,0
Female,0,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,45.23,672.77,No,Developing_13-24m,0,0,0,0.06712973269810173,0
Female,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,34.71,1862.32,No,Loyal_49-72m,0,0,0,0.018628040272202308,0
Female,0,No,No,7,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,82.87,584.9,Yes,New_0-12m,2,1,0,0.14144051885987372,0
Female,0,Yes,No,49,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,105.98,5176.89,No,Loyal_49-72m,3,0,0,0.02046779672801083,0
Male,0,Yes,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Electronic check,90.89,1890.68,No,Developing_13-24m,2,0,0,0.0480472384335617,0
Female,1,Yes,Yes,47,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,82.18,3860.19,No,Established_25-48m,3,0,0,0.02128359391793722,0
Male,1,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.99,344.96,Yes,New_0-12m,0,0,0,0.09824835241068333,0
Female,1,Yes,Yes,20,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,57.99,1162.06,No,Developing_13-24m,0,0,0,0.04985985245817069,0
Female,0,Yes,Yes,8,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),95.67,758.77,No,New_0-12m,4,1,0,0.12591968622083,0
Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),119.99,2889.78,No,Developing_13-24m,3,0,1,0.04150782833698863,0
Male,1,No,No,55,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),88.57,4874.81,No,Loyal_49-72m,3,0,0,0.018165186912533503,0
Female,0,Yes,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,32.81,1458.91,Yes,Established_25-48m,0,0,0,0.0224739881225555,0
Male,0,Yes,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),118.27,7883.95,No,Loyal_49-72m,4,0,1,0.014999460998484454,0
Female,0,No,No,21,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),94.99,2002.61,Yes,Developing_13-24m,2,0,0,0.0474094259860951,0
Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),111.01,6101.7,No,Loyal_49-72m,3,0,0,0.018190309207400005,0
Female,1,Yes,Yes,43,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),66.88,2859.19,No,Established_25-48m,1,0,0,0.02338306196441495,0
Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,127.19,533.14,Yes,New_0-12m,4,0,1,0.23812109184857902,0
Male,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,83.95,611.87,Yes,New_0-12m,1,0,0,0.1369784783069819,1
Female,0,No,No,17,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),108.52,1863.94,No,Developing_13-24m,5,0,1,0.058189539609853395,0
Male,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,34.61,660.98,No,Developing_13-24m,0,0,0,0.052282546300492456,0
Female,0,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),113.85,294.08,Yes,New_0-12m,2,0,1,0.3858275721838146,1
Female,0,Yes,Yes,9,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,111.91,1024.82,Yes,New_0-12m,3,0,1,0.10909321323429062,1
Female,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),46.04,124.31,Yes,New_0-12m,0,0,0,0.3674088261112441,0
Female,1,No,No,66,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,101.75,6707.11,Yes,Loyal_49-72m,1,0,0,0.015168206842165678,1
Female,0,Yes,Yes,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,129.5,4157.49,No,Established_25-48m,4,1,1,0.031141111316848186,0
Female,0,No,No,3,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),79.77,269.79,Yes,New_0-12m,2,0,0,0.2945825178182355,0
Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,119.15,1095.47,Yes,New_0-12m,3,0,1,0.1086669037912574,1
Female,0,No,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),44.1,2604.49,No,Loyal_49-72m,0,0,0,0.016925798985987284,0
Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),119.24,1084.24,No,New_0-12m,4,0,1,0.1098743135159043,0
Female,0,No,No,27,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,65.64,1755.69,No,Established_25-48m,1,0,0,0.03736572758995611,0
Female,0,Yes,Yes,47,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,97.04,4536.54,No,Established_25-48m,2,0,0,0.021386037368265626,0
Male,0,No,No,53,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,91.77,4880.01,No,Loyal_49-72m,1,0,0,0.0188014365879193,0
Male,1,Yes,No,62,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),95.61,5932.66,No,Loyal_49-72m,3,0,0,0.01611315781490682,0
Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),36.08,555.56,No,Developing_13-24m,0,0,0,0.0648267931579704,0
Female,0,Yes,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,44.81,2643.07,No,Loyal_49-72m,0,0,0,0.016947357672073733,0
Female,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,110.92,3669.61,Yes,Established_25-48m,3,0,1,0.03021841056391172,0
Female,0,Yes,No,60,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,86.38,5196.4,Yes,Loyal_49-72m,3,0,0,0.01661984838573133,0
Female,0,Yes,Yes,7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,109.79,777.95,Yes,New_0-12m,3,0,0,0.14094614545221132,0
Female,1,No,No,33,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),95.55,3147.7,Yes,Established_25-48m,4,0,1,0.03034585702035761,0
Female,1,Yes,Yes,60,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,122.22,7320.48,No,Loyal_49-72m,3,0,1,0.016693346154056283,0
Female,0,Yes,Yes,29,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,101.38,2941.78,Yes,Established_25-48m,4,1,0,0.034450417632306864,0
Male,1,No,No,42,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),103.11,4342.65,No,Established_25-48m,5,1,0,0.023738100445477882,0
Female,0,No,No,5,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.93,453.23,Yes,New_0-12m,2,0,0,0.19358034475926295,0
Male,0,Yes,Yes,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,42.82,580.36,No,Developing_13-24m,0,0,0,0.07365487821659557,0
Female,0,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,44.21,1813.14,No,Established_25-48m,0,0,0,0.024369673784823662,0
Female,1,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),44.61,72.57,No,New_0-12m,0,0,0,0.6063612885687101,0
Male,0,Yes,Yes,59,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.79,4782.91,No,Loyal_49-72m,2,0,0,0.016887859512407215,0
Female,0,No,No,50,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,89.76,4489.24,Yes,Loyal_49-72m,3,0,0,0.019990022805017105,0
Male,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,108.41,1281.68,Yes,New_0-12m,2,0,0,0.08451835220008107,0
Female,0,No,Yes,71,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),75.23,5350.69,No,Loyal_49-72m,2,0,0,0.014057241731116714,0
Female,0,Yes,Yes,22,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,57.63,1289.04,Yes,Developing_13-24m,0,0,0,0.04467303339431336,0
Male,1,No,Yes,9,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,107.7,975.05,Yes,New_0-12m,3,0,1,0.1103427078530813,1
Female,0,Yes,Yes,38,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),83.83,3206.9,Yes,Established_25-48m,3,1,0,0.02613236073443686,0
Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),93.5,6724.73,No,Loyal_49-72m,3,0,0,0.013901836677951689,0
Female,1,Yes,No,38,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),97.65,3699.79,No,Established_25-48m,2,0,0,0.02638625806922306,0
Male,0,No,No,24,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),119.23,2874.34,Yes,Developing_13-24m,3,0,1,0.04146640049524578,0
Male,1,No,No,12,No,No phone service,DSL,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),49.15,584.51,Yes,New_0-12m,1,0,0,0.08394391214496763,0
Female,0,No,No,66,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,21.46,1434.44,No,Loyal_49-72m,0,0,0,0.014950119823886752,0
Female,0,No,No,24,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.32,2242.24,Yes,Developing_13-24m,3,0,0,0.04160054207307288,0
Male,0,Yes,No,47,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),91.78,4331.94,No,Established_25-48m,2,0,0,0.021181922666826683,0
Female,1,Yes,No,57,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),82.47,4710.26,No,Loyal_49-72m,3,0,0,0.017504871308312426,0
Female,0,Yes,No,1,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Credit card (automatic),86.94,86.94,Yes,New_0-12m,3,0,0,0.9886286104161929,0
Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),42.5,3030.13,No,Loyal_49-72m,0,0,0,0.014021173621718633,0
Male,0,No,No,26,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,101.98,2663.21,No,Established_25-48m,4,1,0,0.0382777633895226,0
Male,0,No,No,56,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),102.5,5748.48,Yes,Loyal_49-72m,3,0,0,0.01782769920062336,1
Male,0,Yes,Yes,64,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,92.05,5875.93,Yes,Loyal_49-72m,1,0,0,0.015662939664076312,1
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Mailed check,102.53,3087.88,No,Established_25-48m,3,0,0,0.033193260987801405,0
Male,1,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.78,624.68,Yes,Developing_13-24m,0,0,0,0.05079273750159827,0
Male,0,Yes,Yes,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,43.83,559.18,No,Developing_13-24m,0,0,0,0.07824270770109608,0
Male,0,No,Yes,68,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.39,4553.52,No,Loyal_49-72m,2,0,0,0.014796290278668222,0
Male,0,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,43.5,2755.06,No,Loyal_49-72m,0,0,0,0.01578340094192434,0
