customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00023,Female,1,No,No,37,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,92.3,3431.89,No
CUST-00024,Female,0,Yes,Yes,2,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.77,205.34,Yes
CUST-00025,Female,0,Yes,No,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.5,1297.16,No
CUST-00026,Female,0,Yes,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),47.99,283.87,Yes
CUST-00027,Female,0,No,No,59,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Mailed check,105.05,6151.69,No
CUST-00028,Female,1,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.06,875.83,No
CUST-00029,Female,0,No,Yes,16,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,66.56,1081.47,Yes
CUST-00030,Female,0,Yes,No,56,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Electronic check,96.48,5398.78,No
CUST-00031,Male,0,No,No,65,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,89.67,5835.33,No
CUST-00032,Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,46.32,178.32,No
CUST-00033,Female,0,No,No,55,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.53,5727.75,No
CUST-00034,Female,1,Yes,No,51,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,No,Credit card (automatic),93.73,4791.45,No
CUST-00035,Female,0,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),45.31,1793.98,No
CUST-00036,Male,0,Yes,Yes,32,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),77.73,2483.43,Yes
CUST-00037,Female,0,No,No,22,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),82.46,1819.59,No
CUST-00038,Male,0,No,No,39,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),120.09,4673.34,Yes
CUST-00039,Male,0,Yes,No,54,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,104.22,5651.44,Yes
CUST-00040,Male,0,No,No,7,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,101.31,738.75,Yes
CUST-00041,Male,1,No,Yes,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,48.67,2567.37,Yes
CUST-00042,Male,0,Yes,Yes,55,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,57.04,3125.65,No
CUST-00043,Female,0,Yes,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,43.8,1307.42,Yes
CUST-00044,Female,0,Yes,No,72,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,89.33,6449.06,Yes
CUST-00045,Female,1,No,No,18,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),96.52,1744.65,No
CUST-00046,Female,0,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),45.52,2105.18,No
CUST-00047,Female,0,Yes,Yes,28,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,61.68,1746.77,No
CUST-00048,Male,0,No,No,52,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,No,Mailed check,62.78,3250.98,No
CUST-00049,Female,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),34.52,1043.14,No
CUST-00050,Female,0,No,Yes,51,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,110.19,5620.46,No
CUST-00051,Male,0,No,No,67,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,70.71,4744.02,Yes
CUST-00052,Female,0,No,No,9,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,72.65,671.09,Yes
CUST-00053,Male,0,No,No,55,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),96.77,5320.07,No
CUST-00054,Female,1,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),35.66,132.19,No
CUST-00055,Male,1,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,44.89,343.35,Yes
CUST-00056,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,108.07,2619.99,Yes
CUST-00057,Female,0,Yes,Yes,35,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,118.92,4161.57,Yes
CUST-00058,Male,0,No,No,37,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,87.0,3198.48,No
CUST-00059,Male,0,No,No,45,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,98.18,4438.84,No
CUST-00060,Male,0,No,No,7,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,94.68,637.11,Yes
CUST-00061,Male,0,Yes,Yes,46,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,65.16,2974.11,No
CUST-00062,Male,0,Yes,Yes,5,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,90.42,447.36,Yes
CUST-00063,Male,0,No,No,52,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,104.05,5402.4,No
CUST-00064,Male,0,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),34.84,2408.64,No
CUST-00065,Male,0,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,96.34,645.48,Yes
CUST-00066,Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,120.54,2897.85,No
CUST-00067,Female,0,No,No,16,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,One year,No,Credit card (automatic),68.05,1107.98,Yes
CUST-00068,Male,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,35.01,2085.87,No
CUST-00069,Female,0,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,45.23,672.77,No
CUST-00070,Female,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,34.71,1862.32,No
CUST-00071,Female,0,No,No,7,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,82.87,584.9,Yes
CUST-00072,Female,0,Yes,No,49,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,105.98,5176.89,No
CUST-00073,Male,0,Yes,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Electronic check,90.89,1890.68,No
CUST-00074,Female,1,Yes,Yes,47,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,82.18,3860.19,No
CUST-00075,Male,1,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.99,344.96,Yes
CUST-00076,Female,1,Yes,Yes,20,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,57.99,1162.06,No
CUST-00077,Female,0,Yes,Yes,8,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),95.67,758.77,No
CUST-00078,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),119.99,2889.78,No
CUST-00079,Male,1,No,No,55,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),88.57,4874.81,No
CUST-00080,Female,0,Yes,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,32.81,1458.91,Yes
CUST-00081,Male,0,Yes,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),118.27,7883.95,No
CUST-00082,Female,0,No,No,21,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),94.99,2002.61,Yes
CUST-00083,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),111.01,6101.7,No
CUST-00084,Female,1,Yes,Yes,43,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),66.88,2859.19,No
CUST-00085,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,127.19,533.14,Yes
CUST-00086,Male,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,83.95,611.87,Yes
CUST-00087,Female,0,No,No,17,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),108.52,1863.94,No
CUST-00088,Male,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,34.61,660.98,No
CUST-00089,Female,0,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),113.85,294.08,Yes
CUST-00090,Female,0,Yes,Yes,9,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,111.91,1024.82,Yes
CUST-00091,Female,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),46.04,124.31,Yes
CUST-00092,Female,1,No,No,66,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,101.75,6707.11,Yes
CUST-00093,Female,0,Yes,Yes,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,129.5,4157.49,No
CUST-00094,Female,0,No,No,3,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),79.77,269.79,Yes
CUST-00095,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,119.15,1095.47,Yes
CUST-00096,Female,0,No,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),44.1,2604.49,No
CUST-00097,Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),119.24,1084.24,No
CUST-00098,Female,0,No,No,27,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,65.64,1755.69,No
CUST-00099,Female,0,Yes,Yes,47,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,97.04,4536.54,No
CUST-00100,Male,0,No,No,53,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,91.77,4880.01,No
CUST-00101,Male,1,Yes,No,62,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),95.61,5932.66,No
CUST-00102,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),36.08,555.56,No
CUST-00103,Female,0,Yes,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,44.81,2643.07,No
CUST-00104,Female,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,110.92,3669.61,Yes
CUST-00105,Female,0,Yes,No,60,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,86.38,5196.4,Yes
CUST-00106,Female,0,Yes,Yes,7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,109.79,777.95,Yes
CUST-00107,Female,1,No,No,33,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),95.55,3147.7,Yes
CUST-00108,Female,1,Yes,Yes,60,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,122.22,7320.48,No
CUST-00109,Female,0,Yes,Yes,29,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,101.38,2941.78,Yes
CUST-00110,Male,1,No,No,42,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),103.11,4342.65,No
CUST-00111,Female,0,No,No,5,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.93,453.23,Yes
CUST-00112,Male,0,Yes,Yes,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,42.82,580.36,No
CUST-00113,Female,0,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,44.21,1813.14,No
CUST-00114,Female,1,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),44.61,72.57,No
CUST-00115,Male,0,Yes,Yes,59,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.79,4782.91,No
CUST-00116,Female,0,No,No,50,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,89.76,4489.24,Yes
CUST-00117,Male,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,108.41,1281.68,Yes
CUST-00118,Female,0,No,Yes,71,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),75.23,5350.69,No
CUST-00119,Female,0,Yes,Yes,22,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,57.63,1289.04,Yes
CUST-00120,Male,1,No,Yes,9,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,107.7,975.05,Yes
CUST-00121,Female,0,Yes,Yes,38,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),83.83,3206.9,Yes
CUST-00122,Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),93.5,6724.73,No
CUST-00123,Female,1,Yes,No,38,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),97.65,3699.79,No
CUST-00124,Male,0,No,No,24,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),119.23,2874.34,Yes
CUST-00125,Male,1,No,No,12,No,No phone service,DSL,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),49.15,584.51,Yes
CUST-00126,Female,0,No,No,66,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,21.46,1434.44,No
CUST-00127,Female,0,No,No,24,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.32,2242.24,Yes
CUST-00128,Male,0,Yes,No,47,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),91.78,4331.94,No
CUST-00129,Female,1,Yes,No,57,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),82.47,4710.26,No
CUST-00130,Female,0,Yes,No,1,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Credit card (automatic),86.94,86.94,Yes
CUST-00131,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),42.5,3030.13,No
CUST-00132,Male,0,No,No,26,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,101.98,2663.21,No
CUST-00133,Male,0,No,No,56,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),102.5,5748.48,Yes
CUST-00134,Male,0,Yes,Yes,64,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,92.05,5875.93,Yes
CUST-00135,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Mailed check,102.53,3087.88,No
CUST-00136,Male,1,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.78,624.68,Yes
CUST-00137,Male,0,Yes,Yes,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,43.83,559.18,No
CUST-00138,Male,0,No,Yes,68,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.39,4553.52,No
CUST-00139,Male,0,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,43.5,2755.06,No
CUST-00140,Male,1,No,No,16,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.76,1775.25,Yes
CUST-00141,Female,0,Yes,Yes,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),120.01,4189.34,Yes
CUST-00142,Male,0,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,85.32,608.85,Yes
CUST-00143,Female,0,Yes,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,38.07,2403.38,No
CUST-00144,Female,0,No,No,64,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,71.53,4576.28,Yes
CUST-00145,Female,0,No,No,46,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),114.25,5264.21,No
CUST-00146,Male,0,Yes,No,37,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,86.13,3179.28,No
CUST-00147,Male,0,No,No,52,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,75.36,3902.2,No
CUST-00148,Male,0,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,42.75,1716.09,No
CUST-00149,Male,0,No,No,26,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),95.37,2483.64,Yes
CUST-00150,Female,0,No,No,65,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,62.28,4010.0,No
CUST-00151,Male,0,No,No,36,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),110.6,3963.88,No
CUST-00152,Male,0,No,No,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,45.93,2240.49,No
CUST-00153,Male,0,Yes,Yes,37,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,117.66,4361.29,No
CUST-00154,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.23,959.46,Yes
CUST-00155,Male,0,Yes,No,40,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),96.63,3860.41,No
CUST-00156,Female,0,Yes,Yes,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),43.64,2167.43,No
CUST-00157,Male,0,No,No,28,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Electronic check,102.28,2864.84,No
CUST-00158,Female,0,No,No,10,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),94.34,945.34,Yes
CUST-00159,Male,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,35.21,1407.48,No
CUST-00160,Female,0,No,Yes,9,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,55.7,516.03,Yes
CUST-00161,Male,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,109.75,4719.88,Yes
CUST-00162,Male,0,Yes,No,8,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,113.93,908.14,Yes
CUST-00163,Female,0,Yes,Yes,18,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,64.21,1158.06,No
CUST-00164,Female,1,Yes,Yes,32,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),96.37,3103.73,No
CUST-00165,Female,0,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,44.76,990.75,No
CUST-00166,Male,1,No,No,38,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),82.25,3126.36,No
CUST-00167,Female,0,Yes,Yes,70,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Mailed check,66.52,4674.06,No
CUST-00168,Male,0,No,No,37,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,103.16,3809.09,Yes
CUST-00169,Male,0,Yes,Yes,9,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,83.41,702.66,Yes
CUST-00170,Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),126.35,1775.62,Yes
CUST-00171,Female,0,Yes,Yes,7,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),97.83,691.35,No
CUST-00172,Male,0,No,Yes,20,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),91.74,1825.47,No
CUST-00173,Male,0,Yes,Yes,9,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,91.84,822.53,Yes
